reTau,imTau,coneDeficit,margin
0.4999936,2.08916,2.48397e-11,2.44051e-9
0.4999937,2.089161,9.82325e-13,2.73604e-9
0.4999938,2.08916,9.90319e-13,3.73395e-9
0.4999938,2.08916,9.68114e-13,8.60538e-9
0.4999939,2.089161,2.70006e-13,1.24673e-8
0.4999939,2.089161,7.27418e-13,7.79765e-9
0.499994,2.089162,7.48734e-13,5.79868e-9
0.499994,2.08916,8.37552e-13,7.71918e-9
0.4999942,2.08916,7.75380e-13,2.28873e-9
0.4999943,2.089162,5.51559e-13,2.04628e-9
0.4999944,2.089163,5.43565e-13,5.09738e-9
0.4999946,2.089162,8.56204e-13,7.51160e-9
0.4999946,2.089163,8.10019e-13,1.28441e-9
0.4999948,2.089163,8.97948e-13,1.74904e-9
0.4999949,2.089164,5.83533e-13,7.48275e-9
0.4999951,2.089161,5.57776e-13,2.21378e-9
0.4999952,2.089162,3.99680e-13,8.01023e-9
0.4999952,2.081953,6.26166e-13,6.54751e-9
0.4999952,2.081951,9.09495e-13,4.14791e-9
0.4999953,2.08195,5.73763e-13,6.61978e-9
0.4999954,2.131541,8.05578e-13,4.48613e-9
0.4999954,2.081953,8.05578e-13,4.92333e-9
0.4999956,2.081953,9.24594e-13,7.33304e-9
0.4999959,2.081954,8.77520e-13,1.38409e-9
0.499996,2.089164,8.41105e-13,1.36436e-9
0.499996,2.081955,5.87086e-13,1.63346e-9
0.4999962,2.081955,7.36300e-13,1.21660e-9
0.4999963,2.081955,8.60645e-13,1.19849e-9
0.4999966,2.081955,7.92255e-13,4.37091e-9
0.4999967,2.081955,6.92779e-13,3.84987e-11
0.4999968,2.143988,5.80869e-13,1.42297e-9
0.4999968,2.089167,4.22773e-13,5.27216e-9
0.4999968,2.089166,7.26530e-13,2.64520e-9
0.499997,2.143989,7.85150e-13,9.87623e-10
0.4999972,2.131544,7.94920e-13,7.14214e-10
0.4999973,2.089167,4.28990e-13,3.41573e-9
0.4999974,2.089167,6.05738e-13,4.86211e-9
0.4999974,2.131544,8.84626e-13,1.26342e-9
0.4999975,2.131545,8.31335e-13,3.46038e-10
0.4999977,2.089169,8.68638e-13,7.98105e-10
0.4999978,2.089165,7.99361e-13,4.00255e-9
0.4999979,2.089165,9.20153e-13,6.15950e-10
0.4999979,2.089165,9.28146e-13,6.11468e-10
0.499998,2.143991,7.67386e-13,8.15631e-10
