reTau,imTau,coneDeficit,margin
0,1.01872,4.44089e-15,0.00132606
0,0.7286466,1.77636e-15,0.00215134
0,4.291694,8.65086e-13,0.000289965
0,2.502569,1.77636e-15,0.000729348
0,5.528198,9.76996e-15,0.00156961
0,1.016858,1.77636e-15,0.000926711
0,3.721005,3.55271e-15,0.00233349
0,7.083873,1.24345e-14,0.000970838
0,2.253658,9.76996e-15,0.00275508
0,1.027062,3.55271e-15,0.00111143
0,1.02496,2.66454e-15,0.000942240
0,3.694392,8.88178e-15,0.00249662
0,1.022116,1.77636e-15,0.00165899
0,3.086302,6.21725e-15,0.00352520
0,7.566747,8.88178e-15,0.000783712
0,3.037094,7.10543e-15,0.00169063
0,4.491276,1.15463e-14,0.00128695
0,1.024445,8.61533e-14,0.00191113
0,5.292601,2.13163e-14,0.000802637
0,3.798605,7.99361e-15,0.00152707
0,9.456075,3.00204e-13,0.00147020
0,2.721075,3.10862e-14,0.00118403
0,5.769211,2.71783e-13,0.000447579
0,2.584599,2.66454e-15,0.000451760
0,1.645122,2.66454e-15,0.00195468
0,1.63811,3.55271e-15,0.00264943
0,1.017418,1.77636e-15,0.00111072
0,1.006944,1.77636e-15,0.000656816
0,1.296815,3.55271e-15,0.00289168
0,1.013781,7.10543e-15,0.000168546
0,1.013377,6.21725e-15,0.00160771
0,1.723116,3.55271e-15,0.00304798
0,2.559405,2.66454e-15,0.00272389
0,2.651854,2.66454e-15,0.00185066
0,10.72014,1.24345e-14,0.00103669
0,1.013283,4.77840e-13,0.000109159
0,4.24676,1.20792e-13,0.000867127
0,4.36972,5.32907e-15,0.00175077
0,1.915894,7.63833e-14,0.0000853963
0,1.012115,4.44089e-15,0.000303753
0,2.745847,2.57572e-14,0.00243323
0,4.530929,7.10543e-15,0.00192941
0,3.036907,1.77636e-15,0.00260779
0,2.795212,1.77636e-15,0.000747407
0,1.018858,2.66454e-15,0.000918258
0,2.570098,3.55271e-15,0.00194612
0,2.156859,2.66454e-15,0.00271785
0,4.557712,5.32907e-15,0.00311945
0,1.011793,9.76996e-15,0.00123932
0,3.453067,1.77636e-15,0.00132988
0,5.384499,3.55271e-15,0.00216293
0,2.019488,2.66454e-15,0.00281793
0,5.53852,3.55271e-15,0.000694393
0,1.912457,3.55271e-15,0.00184913
0,2.396505,4.44089e-15,0.00346054
0,15.4302,6.12843e-14,0.000955081
0,1.281581,6.03961e-14,0.00194840
0,6.693867,1.24345e-14,0.000884072
0,1.626876,4.44089e-15,0.00269020
0,1.328055,2.66454e-15,0.00166400
0,4.03664,7.10543e-15,0.00195594
0,3.43034,5.32907e-15,0.00218157
0,2.409089,1.77636e-15,0.000382928
0,2.216846,3.55271e-15,0.000574039
