reTau,imTau,coneDeficit,margin
0.08434249,1.147376,1.33227e-14,0.000388009
0.1611858,1.154917,3.29514e-13,0.0000165949
0.1619714,1.147239,8.94396e-13,0.000160683
0.1705651,1.162422,1.77636e-15,0.0000351581
0.2240532,1.177613,8.88178e-15,0.0000213058
0.2821698,1.206905,1.42109e-14,0.0000294328
0.3275498,1.232718,1.24345e-14,0.0000137504
0.3567981,1.24905,1.77636e-15,0.00000537053
0.3728514,1.258832,5.32907e-15,7.32514e-7
0.3835713,1.265476,3.55271e-15,9.38098e-7
0.3835746,1.270702,2.66454e-15,0.00000247776
0.3913061,1.270459,3.55271e-15,6.59058e-7
0.3915732,1.275404,3.55271e-15,4.13408e-7
0.396675,1.273803,6.21725e-15,0.00000242947
0.3970897,1.278777,6.21725e-15,1.55833e-7
0.4006545,1.27631,8.88178e-15,0.00000166861
0.4014163,1.281398,5.32907e-15,1.88590e-7
0.4037603,1.27823,5.32907e-15,8.78961e-7
0.4041636,1.283092,7.99361e-15,1.38250e-7
0.4042673,1.283172,9.76996e-15,2.95728e-7
0.4047409,1.278848,2.13163e-14,2.54194e-7
0.4048099,1.283532,1.24345e-14,9.05031e-7
0.4052963,1.2792,2.66454e-15,3.13702e-9
0.7096051,0.63626,6.21725e-15,2.32771e-7
0.7108135,0.6365277,3.55271e-15,9.92935e-7
0.7119835,0.636818,4.44089e-15,5.99487e-7
0.7130218,0.6370094,7.10543e-15,8.93634e-7
0.7137247,0.6371358,4.44089e-15,3.91962e-8
0.7145983,0.6372778,3.55271e-15,0.00000138317
0.7152982,0.6374073,2.66454e-15,7.06999e-7
0.7158368,0.6375006,3.55271e-15,5.10566e-7
0.7162956,0.6375683,7.99361e-15,1.83738e-7
0.7168419,0.6376203,3.55271e-15,1.98897e-7
0.7173877,0.6377105,1.59872e-14,2.23518e-8
0.7178942,0.6377838,7.10543e-15,1.11620e-7
0.7182539,0.6378724,5.32907e-15,3.59841e-7
0.7186958,0.6379224,7.99361e-15,0.00000123480
0.7190291,0.6379613,7.10543e-15,2.90399e-7
0.7193486,0.6379887,4.44089e-15,0.00000114433
0.7196283,0.6380287,3.55271e-15,5.17633e-7
0.7197105,0.6380355,6.21725e-15,4.32498e-7
0.7197572,0.6380518,1.50990e-14,4.30887e-8
0.7197969,0.6380664,9.69891e-13,1.57482e-7
0.719837,0.6380807,4.44089e-15,1.76071e-7
0.7198919,0.638094,9.76996e-15,2.78899e-7
0.7201204,0.6381169,7.99361e-15,1.07663e-7
0.7201637,0.6381362,8.88178e-15,7.43503e-7
0.7204254,0.6381671,6.21725e-15,8.12990e-7
0.720643,0.6382047,6.21725e-15,0.00000105804
0.7207093,0.638216,4.44089e-15,1.25732e-7
0.7208283,0.6382273,5.32907e-15,2.09631e-7
0.7209154,0.6382295,1.06581e-14,6.72415e-7
0.7210101,0.638245,8.88178e-15,4.65687e-8
0.721086,0.6382493,4.44089e-15,1.44442e-7
0.7211838,0.6382625,3.55271e-15,1.76469e-7
0.7212304,0.638273,4.44089e-15,1.16961e-7
0.7212688,0.6382834,6.21725e-15,3.24866e-8
0.721319,0.6382993,1.06581e-14,3.42378e-8
0.721369,0.6383106,3.55271e-15,6.22666e-7
0.7214105,0.638326,7.99361e-15,4.18635e-7
0.7215583,0.6383471,6.21725e-15,7.38703e-8
0.7216177,0.6383504,8.88178e-15,1.50429e-7
0.7217082,0.6383646,2.66454e-15,2.63338e-8
0.7217822,0.6383717,7.99361e-15,4.33465e-7
0.721906,0.6383808,7.10543e-15,1.02291e-7
0.7220215,0.6383863,1.06581e-14,4.34922e-7
0.7220578,0.6384025,7.99361e-15,3.67548e-7
0.722107,0.6384101,1.06581e-14,5.60777e-8
0.7221582,0.638413,2.22045e-14,3.67684e-9
0.7222158,0.6384168,8.28670e-13,3.37276e-7
0.7223072,0.6384308,1.58096e-13,5.03071e-9
0.7223543,0.6384342,1.42109e-14,1.87013e-8
0.7224036,0.6384338,1.86517e-14,2.83865e-7
0.7224552,0.6384367,1.59872e-14,1.44351e-8
0.7225122,0.6384417,7.10543e-15,2.55020e-7
0.72256,0.6384516,7.10543e-15,1.86573e-7
0.7226446,0.638453,5.32907e-15,1.70576e-8
0.7226953,0.6384545,8.88178e-15,4.35400e-7
0.7227524,0.6384649,1.06581e-14,5.34310e-7
0.7227771,0.6384598,7.10543e-15,1.39124e-7
0.7228368,0.6384688,1.24345e-14,2.94413e-7
0.7228835,0.6384806,1.06581e-14,2.31880e-7
0.7229205,0.6384907,6.21725e-15,1.72043e-7
0.7229529,0.6384949,6.21725e-15,7.15255e-8
0.7228882,0.6385564,9.76996e-15,3.14378e-7
0.7229373,0.6385736,1.95399e-14,3.09240e-7
0.722985,0.638596,1.24345e-14,3.52207e-7
0.7230488,0.6386182,7.99361e-15,6.15626e-7
0.7231129,0.6386282,2.13163e-14,2.64250e-7
0.7231754,0.6386442,7.10543e-15,5.07059e-7
0.7232383,0.6386559,7.10543e-15,2.89169e-7
0.723277,0.6386673,2.13163e-14,8.62742e-8
0.7233162,0.6386831,1.42109e-14,6.06617e-8
0.723367,0.6386896,6.21725e-15,4.47192e-7
0.7234163,0.6387019,3.55271e-15,1.34853e-7
0.7234593,0.6387093,7.10543e-15,2.77227e-7
0.7235065,0.6387113,1.06581e-14,2.09195e-7
0.7235412,0.6387219,1.42109e-14,6.65692e-8
0.7235839,0.6387319,1.15463e-14,6.25742e-8
0.7236256,0.638738,7.99361e-15,1.22828e-7
0.7236731,0.6387422,4.44089e-15,8.83517e-8
0.7237167,0.6387497,2.39808e-14,3.32198e-7
0.7237591,0.6387534,7.10543e-15,1.62862e-7
0.7238021,0.6387563,1.24345e-14,1.55458e-7
0.7238475,0.638763,7.99361e-15,2.64416e-8
0.7238879,0.6387707,2.13163e-14,5.34247e-8
0.7239253,0.6387738,7.10543e-15,1.47541e-8
0.7239598,0.6387849,1.24345e-14,1.98502e-7
0.7240089,0.638789,1.59872e-14,6.86693e-8
0.7240401,0.6388017,5.32907e-15,1.79054e-7
0.7240764,0.6388114,1.77636e-14,1.41449e-7
0.7241085,0.6388172,1.59872e-14,5.81892e-8
0.7241481,0.6388255,2.30926e-14,1.99739e-7
0.7241921,0.6388295,1.33227e-14,4.12865e-8
0.7242271,0.6388376,2.22045e-14,3.46152e-8
0.7242716,0.6388477,1.77636e-14,1.82742e-7
0.7243104,0.6388548,1.42109e-14,4.96336e-8
0.7243445,0.6388574,1.50990e-14,1.49103e-8
0.7243924,0.6388627,1.24345e-14,9.78448e-8
0.7244304,0.6388637,2.66454e-14,2.62207e-8
0.7244603,0.6388707,1.06581e-14,2.96929e-7
0.7244988,0.6388775,2.75335e-14,2.07751e-9
0.7245339,0.6388888,2.48690e-14,1.46673e-7
0.7245834,0.6388957,2.13163e-14,3.79931e-11
0.7246164,0.6389047,1.86517e-14,1.66408e-7
0.7246466,0.6389143,1.15463e-14,4.63002e-8
0.7246843,0.6389191,1.77636e-14,2.70766e-8
0.7247248,0.6389271,8.88178e-15,2.40119e-8
0.7247602,0.6389306,1.24345e-14,1.47400e-7
0.7247997,0.6389381,7.99361e-15,3.20207e-8
0.7248365,0.6389444,1.95399e-14,3.36867e-8
0.7248695,0.6389482,1.77636e-14,1.11072e-7
0.7249066,0.6389521,1.33227e-14,1.58790e-7
0.7249388,0.6389562,7.10543e-15,1.60757e-7
0.7249783,0.6389607,7.99361e-15,1.89619e-7
0.7250097,0.6389649,1.59872e-14,3.31507e-8
0.7250428,0.638969,2.57572e-14,1.19813e-8
0.7250768,0.638972,7.99361e-15,1.41516e-7
0.725115,0.6389732,1.15463e-14,8.61794e-8
0.7251549,0.6389783,2.66454e-15,4.92224e-8
0.7251832,0.638985,2.84217e-14,1.17536e-7
0.7252155,0.6389883,2.22045e-14,2.11464e-9
0.7252496,0.638994,1.33227e-14,1.74423e-8
0.725283,0.6390022,1.33227e-14,4.16156e-8
0.7253243,0.6390006,2.13163e-14,3.60563e-8
0.7253533,0.6390075,1.77636e-14,1.16295e-7
0.7253803,0.6390162,2.30926e-14,6.14490e-8
0.7254013,0.6390267,3.01981e-14,1.00005e-7
0.7254327,0.6390316,1.24345e-14,6.11071e-9
0.7254641,0.63904,9.76996e-15,7.09489e-8
0.7254923,0.6390511,3.55271e-14,1.27124e-7
0.7255191,0.6390573,2.22045e-14,1.91766e-7
0.7255538,0.63906,2.93099e-14,1.35344e-7
0.7255805,0.639066,1.95399e-14,4.37611e-8
0.7256105,0.6390698,4.26326e-14,5.42445e-8
0.7256321,0.6390747,2.04281e-14,9.17724e-8
0.725662,0.6390754,2.22045e-14,8.37006e-9
0.7256923,0.6390765,1.68754e-14,6.68038e-8
0.7257132,0.6390821,1.15463e-14,1.81489e-8
0.7257414,0.6390872,3.37508e-14,1.59156e-7
0.7257711,0.6390938,8.88178e-15,1.62111e-7
0.7258018,0.6390992,2.39808e-14,1.29694e-7
0.725828,0.6391052,1.33227e-14,7.00162e-8
0.7258518,0.6391128,2.13163e-14,9.58887e-8
0.7258835,0.6391178,2.04281e-14,1.00761e-8
0.7259114,0.639122,2.48690e-14,2.21996e-8
0.725945,0.6391285,1.42109e-14,2.99250e-8
0.7259673,0.6391295,1.42109e-14,1.18703e-8
0.7259926,0.6391331,4.44089e-15,1.00945e-7
0.7260193,0.6391387,1.42109e-14,1.37452e-8
0.726043,0.639146,1.59872e-14,8.10495e-9
0.7260664,0.6391504,5.32907e-15,3.48840e-8
0.7260927,0.6391546,4.97380e-14,4.21799e-8
0.7261164,0.6391585,3.73035e-14,4.17028e-8
0.7261395,0.6391633,7.99361e-15,5.42653e-8
0.7261633,0.639168,3.37508e-14,1.79136e-8
0.726191,0.6391718,1.15463e-14,1.99579e-8
0.7262169,0.6391744,1.77636e-14,4.96306e-8
0.7262492,0.6391774,2.66454e-14,6.92805e-9
0.7262711,0.6391784,2.13163e-14,4.81763e-8
0.7262961,0.6391762,1.42109e-14,9.64887e-9
0.7263176,0.6391811,1.77636e-14,6.92636e-8
0.7263434,0.639186,5.50671e-14,3.42628e-8
0.726367,0.6391914,2.84217e-14,2.16842e-8
0.7263828,0.6391955,1.86517e-14,4.36224e-9
0.7264054,0.6391959,2.93099e-14,5.77280e-8
0.7264307,0.6391985,2.75335e-14,1.68750e-8
0.7264529,0.6392006,3.01981e-14,3.39662e-8
0.7264698,0.6392058,1.95399e-14,1.77510e-8
0.7264893,0.639209,4.44089e-14,3.12277e-8
0.7265036,0.6392123,2.22045e-14,6.60577e-8
0.7265241,0.639219,9.76996e-15,7.11291e-8
0.7265434,0.6392244,5.32907e-14,1.81374e-8
0.7265591,0.6392298,1.59872e-14,3.57043e-8
0.7265794,0.6392305,1.50990e-14,3.39464e-8
0.7265961,0.6392386,3.28626e-14,5.21888e-8
0.726616,0.6392413,1.59872e-14,6.30418e-9
